category,word_count,reason_code,reason,human_decision
ماددەی کیمیایی,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
شتێک پیاو لێی سەرسام بێت,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
پلەو پایە,3,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
بەخشین,3,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
بەرهەمی کار,3,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
هەڵپەڕکی,2,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ژانەر,2,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
چیرۆک,2,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
وزە,1,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
زمان و ئەدەب,1,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ئەفسانە,1,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
