sense_id,word_id,word,definition,current_pol,current_speech_pane,proposed_part_of_speech,proposed_domain,proposed_axis_values,proposed_example,confidence,conflict_reason,owner_user_id,owner_user_name,human_part_of_speech,human_domain,human_axis_values,human_example,human_note
3053,13028,ئاتەشبازی,تەقەکردن،فیشکەشێتە ھەڵدان لە جەژن و خۆشی دا,ئەنجامدانی کارێک,کار,کار,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3054,13029,ئاتەشپارە,بە منداڵی ھاروھاج دەڵێن,کەس,ناو,ناو,ناو › کەس,ڕەگەز=دوولایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3058,13030,ئاتەشخانە,تونخانەی حەمام، قوڵگەی ژێر تیانە کە ئاگری تێدا دەکەنەوە,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3059,13030,ئاتەشخانە,کوردی سۆرانی,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3061,13031,ئاتەشکەدە,ئاگردانی پیرۆزی گاوران، کوانوی ئاگرپەرستان,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3063,13032,ئاتەشگا,ناوی کێوێکە لە کوردستان,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3065,13033,ئاتەشی,پیاوی زۆر توند تەبیات، ڕەنگی گوڵی سوور تاریک,مرۆڤ,ناو,ناو,کولتووری › مرۆڤ,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3067,13034,ئاتەگ,داوێنی کەوای شۆڕ، شاقەل، بنار و دامێنی چیا,شوێن,ئاوەڵکار,هاوەڵکار,ناو › شوێن,,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3069,13035,ئاتی,زێڕ، ئاڵتون، تەلا,کەرەستە,ناو,ناو,کولتووری › کەرەستە,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3071,13036,ئاجار,ڕەگ و بنی گیا، پنجارە,ڕووەك,ناو,ناو,ڕووەکناسی › ڕووەك,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3073,13037,ئاچگی,دەست ڕژد، خەسیس، چەکوش، دەشت قوچاو,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3075,13038,تابار,لایەک لە باریکی دوتایی,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3076,13039,تابان,بەدرەوشین,سیفەت,ناو | ئاوەڵناو,,,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3077,13039,تابان,هەڵاتوی مانگ,سیفەت,ناو | ئاوەڵناو,,,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3078,13039,تابان,تاسەرو، تا سەربان,سیفەت,ناو | ئاوەڵناو,,,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3082,13041,تابڵۆ,نووسراو یان بە قەڵەم کێشراوێک بۆ هەڵواسین,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3083,13042,تابوت,دار بەستی مردوو گوێزانەوە,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3084,13043,تابور,دەستەیەکی هەزار کەسی لەشکر، فەوج، هەنگ,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3085,13044,تابون,دارو دەستە,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3086,13044,تابون,دەست و پێوەند,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3087,13044,تابون,داهاتنەوە,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3090,13045,تابەرە,سواپ، بەردی تەنک کە منداڵ لەسەر ڕووبار گاڵتەی پێدەکەن,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3091,13046,تابەن,شیرازە چن، بن چندراو,ئەنجامدانی کارێک,ناو | ئاوەڵناو,,,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3092,13047,تابەنی,شیرازە چنی، بن چنین،,ئەنجامدانی کارێک,ناو | چاوگ,,,,,LOW,"word carries several parts of speech (ناو / چاوگ); a sense may only have one ; پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3093,13048,تابین,لەشکرچی بێ دەرەجە,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3094,13049,تاپاز,زابەلاح، زلحورت، ئەستور,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3095,13050,تاپاڵ,هەڕەشە، گوڕەشە، گەف,,ناو,ناو,,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3096,13051,تاپڕ,تفەنگی ڕاو,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3097,13052,تاپۆ,تارمایی، ڕەشایی لە دوورەوە,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3098,13052,تاپۆ,موچە و مەزرای خەڵاتی بێ باج،,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3099,13052,تاپۆ,قەباڵەی موڵکایەتی,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3100,13052,تاپۆ,کارگێڕی قەباڵەی موڵک نووسین,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3104,13053,تاپو,گەندوی گەورە بۆ دەغڵ,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3105,13054,تاپەڵە,گرانەتا,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3106,13055,تاپی,خەندەک، ڕەهەند,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3107,13055,تاپی,سەنگەر,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3108,13055,تاپی,گۆڕێچە,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3111,13056,تات,عارەب، عەرەو,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3112,13056,تات,ژنێ کە ئێسک بەری منداڵدانی گرتووە,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3113,13056,تات,شاخی هەڵيمووت و یەک پارچە بەرد,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3114,13056,تات,بەردی لووس و پان و درێژ بۆ نوێژ یان مردوو لەسەر شتن,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3115,13056,تات,نمەد کولاڤ,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3116,13056,تات,تەخت و راستایی,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3117,13056,تات,باوک,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3124,13057,تاتریک,سواپ، تابەرە,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3125,13058,تاتک,دادە، خوشکی گەورە، خوها مەزن,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3126,13059,تاتکی,فەرەنجی، قاپوت,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3127,13060,تاتکێ,بڵندکردن و جوڵانەوە,ئەنجامدانی کارێک,ناو,ناو,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «ناو» — they disagree",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3128,13061,تاتۆ,باوک,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3129,13061,تاتۆ,باڤ، بابؤ,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3130,13062,تاتە,تاتک,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3131,13062,تاتە,پیرە نۆکەر,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3132,13062,تاتە,مام. مامۆ,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3133,13062,تاتە,مێردی تایەن,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3137,13063,تاتە بەرد,تەختە بەرد، کەڤری لوس و پان بۆ نوێژ لەسەرکردن.,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3138,13064,تاتەزا,ئامۆزا، فر زەندیمام، بچوکی ئاپۆ,کەس | مرۆڤ,ناو,ناو,ناو › کەس | کولتووری › مرۆڤ,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3139,13065,تاتوشوار,تاتەشۆر، تەختە بەردی جێگەی مردوو لەسەر شتن,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3140,13066,تاتەشۆر,تاتە شوار,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3141,13067,تاتی,مێردی تایەن,کەس,ناو | هیتر,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3142,13067,تاتی,لباد: نمەد، تەحت,کەس,ناو | هیتر,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3143,13067,تاتی,سەرو ژێری پیتی نوسراو,کەس,ناو | هیتر,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3147,13068,تاتێڵ,دڵ پەشێوی، دڵخورتی، نیگەرانی,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3148,13069,تاج,تەقیلەی سەر بە قوچکە,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3149,13069,تاج,کڵاوی پاشایان,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3151,13070,تاج خروس,گوڵێکە سور لە پۆپە کەڵەشێر دەکا,ڕووەك,,,ڕووەکناسی › ڕووەك,,,LOW,word has no جۆری وشە at all,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3152,13071,تاجر,سەوداگەر، بازرگان، مامەڵەچی,کەس | مرۆڤ,ناو,ناو,ناو › کەس | کولتووری › مرۆڤ,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3153,13072,تاجی,تاژی، سەگی ڕاو، تانجی,گیانلەبەر,ناو,ناو,,,,HIGH,پۆل «گیانلەبەر» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3154,13073,تاجی لۆکە,ئەسپی حەئمەد ڕاوکەرە، تازیلۆکە،حوشتر خوا، بالوک،,گیانلەبەر,ناو,ناو,,,,HIGH,پۆل «گیانلەبەر» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3155,13074,تاچە,جەواڵی بچووک,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3156,13075,تاحین,تاعین، هەلوای دۆشاو و کونجی,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3174,13076,تاخ,گەڕەک، مەحەللە,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3175,13076,تاخ,تەرەف,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3161,13077,تاخم,دەست لە پۆشاک، دەست لە پیاڵەو,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3162,13078,تاخورک,عەرەبەی بێ چەرخ کە بەسەر بەفرا دەیکێشن،,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3163,13079,تاخە,باقە بەستراوێ لە گیا,ڕووەك,ناو,ناو,ڕووەکناسی › ڕووەك,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3164,13080,تاخەبەند,باقەبێن، باغەبەن,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3165,13081,تاخیر,وەدواخستن، درەنگ کردن،,,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3166,13082,تادار,نۆ بەتێ دار، کەسێ تای لێ تێ,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3167,13083,تادانە,تانە، لەکەی بان چاو,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
3168,13084,تارا,سەرپۆشی سوری بووک,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
